benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,1.0,-9.78,0.022742686877045233,150.0,0.19080292647083597,1.0098505405584972,0.0,0.0,150,1.0,0.0,1.0,1.0,1.0,0.8,0.8,0.8
B1,sac_her,action_clipping,0.3,0.9933333333333333,-32.486666666666665,0.02760888139427833,150.0,0.18165687593321,0.4208652581771215,0.0,0.0,150,0.9933333333333333,0.8703456025186873,0.9933333333333333,1.0,0.0,0.7714024538370707,0.6717357871704042,0.6717357871704042
B1,sac_her,action_delay,0.0,0.92,-26.7,0.05955491865224271,150.0,0.28087528978784876,1.1472375202178955,0.0,0.0,150,0.92,0.765557460363748,0.92,1.0,0.0,0.7211114920727497,0.6251114920727496,0.6251114920727496
B1,sac_her,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.06096424254899219,1.3030657682816187,0.0,0.0,150,0.02,0.4684016998771382,0.02,1.0,0.0,0.30168033997542765,0.25068033997542766,0.25068033997542766
B1,sac_her,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.03336600189407662,1.1990293284257254,0.0,0.0,150,0.02,0.47965085051282064,0.02,1.0,0.0,0.3039301701025641,0.25293017010256413,0.25293017010256413
B1,sac_her,goal_spoof_immediate,0.1,0.09333333333333334,-137.59333333333333,0.10056073805441117,150.0,0.4352188683052858,1.1094368108113606,0.0,0.0,150,0.09333333333333334,0.6200516965531723,0.09333333333333334,1.0,0.0,0.36134367264396783,0.30667700597730113,0.30667700597730113
B1,sac_her,goal_spoof_midep,0.1,0.09333333333333334,-90.37333333333333,0.0922439679407006,150.0,0.35254944888254003,1.0950195515155792,0.0,0.0,150,0.09333333333333334,0.6704998747060624,0.09333333333333334,1.0,0.0,0.37143330827454585,0.31676664160787915,0.31676664160787915
B1,sac_her,grip_state_falsification,0.0,0.20666666666666667,-125.97333333333333,0.22128751801944635,150.0,0.9813448694472512,1.139566475947698,0.006666666666666667,0.0,150,0.20666666666666667,0.15427837910708664,0.20666666666666667,0.9933333333333333,0.0,0.3121890091547507,0.2521890091547506,0.2521890091547506
B1,sac_her,object_pose_spoof,0.1,0.26666666666666666,-112.62,0.07012075029172994,150.0,0.3103646221508582,1.0686744912465413,0.0,0.0,150,0.26666666666666666,0.7322555898640855,0.26666666666666666,1.0,0.0,0.45311778463948377,0.38978445130615047,0.38978445130615047
B1,sac_her,sensor_bias,0.1,0.02,-147.0,0.29788214120213613,150.0,0.7497380031459033,1.1185893249511718,0.02,0.0,150,0.02,0.09440386290776735,0.02,0.98,0.0,0.22288077258155348,0.17288077258155346,0.17288077258155346
B1,sac_her,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,2.0829415840288116e-09,1.646635460058848,0.0,0.0,150,0.02,0.4932509622981621,0.02,1.0,0.0,0.3066501924596325,0.25565019245963244,0.25565019245963244
B2,sac_her_recovery_v2,action_clipping,0.3,0.9733333333333334,-36.50666666666667,0.030304708663069294,150.0,0.20081744881967697,0.4303301199277242,0.0,0.98,150,0.9733333333333334,0.8600409737363288,0.9733333333333334,1.0,0.0,0.7613415280805992,0.6626748614139325,0.6626748614139325
B2,sac_her_recovery_v2,action_delay,0.0,0.9,-31.82,0.07104078022561176,150.0,0.301138110756874,1.1429250196615854,0.08,0.76,150,0.9,0.7353618137977432,0.9,0.92,0.0,0.6910723627595488,0.6000723627595487,0.6000723627595487
B2,sac_her_recovery_v2,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.1070371120423078,1.2705439454317093,0.0,1.0,150,0.02,0.421726252255732,0.02,1.0,0.0,0.2923452504511464,0.2413452504511464,0.2413452504511464
B2,sac_her_recovery_v2,clean,0.0,1.0,-10.446666666666667,0.022737929113720856,150.0,0.1939176053553819,1.0108371837933858,0.0,0.1,150,1.0,0.8788102406699501,1.0,1.0,1.0,0.9757620481339901,0.9757620481339899,0.9757620481339899
B2,sac_her_recovery_v2,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.060690901279449413,1.1986301020781198,0.0,1.0,150,0.02,0.439064545603009,0.02,1.0,0.0,0.2958129091206018,0.2448129091206018,0.2448129091206018
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.11333333333333333,-134.42,0.09766856989759634,150.0,0.34938127102951205,1.094348324984312,0.02,0.32,150,0.11333333333333333,0.6603476340631419,0.11333333333333333,0.98,0.01999999999999999,0.3774028601459617,0.32473619347929505,0.32473619347929505
