method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,first_success_step,episode_idx,recovery_version,benchmark_layer,env
sac_her_recovery_v4,clean,0,0.0,-12.0,1.0,0.019675209030608962,150,0.08518995344638824,0.9907163381576538,0.0,1.0,12.0,0,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-16.0,1.0,0.0344295242633659,150,0.06340637803077698,1.0466423034667969,0.0,1.0,16.0,1,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-8.0,1.0,0.009681004228636188,150,0.2084321677684784,1.0392372608184814,0.0,1.0,8.0,2,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-13.0,1.0,0.02748789538775775,150,0.06395275890827179,1.0348325967788696,0.0,1.0,13.0,3,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-15.0,1.0,0.031497115349387955,150,0.06332681328058243,1.0321433544158936,0.0,1.0,15.0,4,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-8.0,1.0,0.025318112746983763,150,0.05498954653739929,1.0316591262817383,0.0,0.0,8.0,5,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-7.0,1.0,0.0072766331366171015,150,1.251660704612732,1.168524146080017,0.0,1.0,7.0,6,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-7.0,1.0,0.01871597529171561,150,0.09881089627742767,0.8968290090560913,0.0,1.0,7.0,7,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-10.0,1.0,0.025120279989549434,150,0.060018666088581085,1.030924677848816,0.0,1.0,10.0,8,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-6.0,1.0,0.016696289101115282,150,0.05930668115615845,0.893136203289032,0.0,1.0,6.0,9,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-14.0,1.0,0.03477290891208282,150,0.07387949526309967,1.0412546396255493,0.0,1.0,14.0,10,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-8.0,1.0,0.0173427875824028,150,0.15538761019706726,1.1415657997131348,0.0,1.0,8.0,11,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-13.0,1.0,0.03338812991465823,150,0.059735242277383804,1.0386176109313965,0.0,1.0,13.0,12,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-7.0,1.0,0.026363642551252165,150,0.12150803208351135,0.8844024538993835,0.0,1.0,7.0,13,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-6.0,1.0,0.017628841981838145,150,0.06386731564998627,0.9539259672164917,0.0,1.0,6.0,14,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-13.0,1.0,0.03257174606445518,150,0.057047925889492035,1.0394443273544312,0.0,1.0,13.0,15,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-7.0,1.0,0.015767281720874826,150,0.1351921111345291,0.9622060060501099,0.0,1.0,7.0,16,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-9.0,1.0,0.027616882354483802,150,0.06265513598918915,1.0355863571166992,0.0,1.0,9.0,17,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-9.0,1.0,0.01573188972654912,150,0.11747770011425018,0.9407228827476501,0.0,1.0,9.0,18,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-10.0,1.0,0.014112148477254146,150,0.07457511872053146,0.8818553686141968,0.0,1.0,10.0,19,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-6.0,1.0,0.013650480077174367,150,0.06991500407457352,0.790266752243042,0.0,1.0,6.0,20,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-17.0,1.0,0.03427482410872761,150,0.06926685571670532,1.0506608486175537,0.0,1.0,17.0,21,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-6.0,1.0,0.013195129432190396,150,0.07243727892637253,0.8887674808502197,0.0,1.0,6.0,22,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,clean,0,0.0,-15.0,1.0,0.034473060866769725,150,0.056790005415678024,1.0466439723968506,0.0,1.0,15.0,23,v4,B4,sac_her_pickandplace_clean_2M
