method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,first_success_step,episode_idx,recovery_version,benchmark_layer,env
sac_her_recovery_v4_hx,clean,0,0.0,-12.0,1.0,0.019675671092931817,150,0.08519340306520462,0.99072265625,0.0,1.0,12.0,0,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-16.0,1.0,0.03439313010252416,150,0.06343400478363037,1.0464636087417603,0.0,1.0,16.0,1,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-8.0,1.0,0.009653486222689607,150,0.20150738954544067,1.0383243560791016,0.0,1.0,8.0,2,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-13.0,1.0,0.027487878845817843,150,0.06394757330417633,1.034651517868042,0.0,1.0,13.0,3,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-15.0,1.0,0.031459454820219744,150,0.06291642785072327,1.0323184728622437,0.0,1.0,15.0,4,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-8.0,1.0,0.025318112746983763,150,0.05498955398797989,1.0316591262817383,0.0,0.0,8.0,5,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-7.0,1.0,0.006630023704081414,150,1.2377008199691772,1.1629815101623535,0.0,1.0,7.0,6,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-7.0,1.0,0.019206441970698977,150,0.09962707757949829,0.8939096927642822,0.0,1.0,7.0,7,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-10.0,1.0,0.025120272649559655,150,0.060165029019117355,1.0307388305664062,0.0,1.0,10.0,8,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,clean,0,0.0,-6.0,1.0,0.01669900116384475,150,0.05945311114192009,0.9003381133079529,0.0,1.0,6.0,9,v4_hx,B4,sac_her_pickandplace_clean_2M
