method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,first_success_step,episode_idx,recovery_version,benchmark_layer,env
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.138016073461505,150,0.04378637671470642,0.8400818705558777,0.0,1.0,,0,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.1389707886245582,150,0.18616661429405212,0.6866001486778259,0.0,1.0,,1,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.3864911388776422,150,0.18894575536251068,0.6417065262794495,0.0,1.0,,2,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-149.0,0.0,0.05152039142404543,150,0.2776380479335785,0.5232448577880859,0.0,1.0,11.0,3,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.0792335841323332,150,0.6571539640426636,0.8584725856781006,0.0,1.0,,4,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.2450656760209571,150,0.40496826171875,0.6663162112236023,0.0,1.0,,5,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.11925358800701309,150,0.10222524404525757,0.6899757385253906,0.0,1.0,,6,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.28519703487391984,150,0.42740386724472046,0.6891939043998718,0.0,1.0,,7,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,0.0,1.0,0.033706029186891445,150,0.03284800052642822,0.6947538256645203,0.0,1.0,0.0,8,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.10050082354888723,150,0.819074809551239,0.794157087802887,0.0,1.0,,9,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.26167325057946356,150,0.173646479845047,0.679722249507904,0.0,1.0,,10,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.19983643536529494,150,0.26639872789382935,0.6750261187553406,0.0,1.0,,11,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.45497846864430314,150,0.3429446518421173,0.33048972487449646,0.0,1.0,,12,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.2196797302378841,150,0.5142860412597656,0.7077879905700684,0.0,1.0,,13,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.12179748693283289,150,0.13987651467323303,0.6930915117263794,0.0,1.0,,14,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.26348460398535584,150,0.0474446602165699,0.6790385842323303,0.0,1.0,,15,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.09311608834238991,150,0.2825813889503479,0.6464740037918091,0.0,1.0,,16,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.44418000640199523,150,0.18393881618976593,0.6362420916557312,0.0,1.0,,17,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.40320752833126094,150,0.30209681391716003,0.34383919835090637,0.0,1.0,,18,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.08027948519361598,150,0.17895899713039398,0.7180423736572266,0.0,1.0,,19,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.2973615093780659,150,0.4304201900959015,0.6842406392097473,0.0,1.0,,20,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.11927797118276132,150,0.47976791858673096,0.9000055193901062,0.0,1.0,,21,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.44008981280311726,150,0.3053671419620514,0.6505300998687744,0.0,1.0,,22,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.20632456124699772,150,0.6945679187774658,0.6929395794868469,0.0,1.0,,23,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.0773510057275377,150,0.4258091151714325,0.8558766841888428,0.0,1.0,,24,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-34.0,1.0,0.0059660880665477044,150,0.5186821818351746,1.3730337619781494,0.0,1.0,34.0,25,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.2614774717284592,150,0.05411526933312416,0.6858803033828735,0.0,1.0,,26,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.2753061768948158,150,0.22604802250862122,0.31883537769317627,0.0,1.0,,27,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.17699914097450023,150,0.4501781463623047,0.6919183135032654,0.0,1.0,,28,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4,grip_state_falsification,5,0.0,-150.0,0.0,0.23994981170903515,150,0.0701470598578453,0.8328846096992493,0.0,1.0,,29,v4,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.1379360777607863,150,0.04353662207722664,0.8404906988143921,0.0,1.0,,30,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.1389707886245582,150,0.18616661429405212,0.6866001486778259,0.0,1.0,,31,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.3864911388776422,150,0.18902385234832764,0.6430819630622864,0.0,1.0,,32,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-149.0,0.0,0.05152039142404543,150,0.26131412386894226,0.5065761208534241,0.0,1.0,11.0,33,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.07948941928660189,150,0.5773624181747437,0.8542397022247314,0.0,1.0,,34,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.2450656760209571,150,0.40496826171875,0.6663162112236023,0.0,1.0,,35,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.11925358800701309,150,0.10222524404525757,0.6899757385253906,0.0,1.0,,36,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.28519703487391984,150,0.4215003550052643,0.6891586184501648,0.0,1.0,,37,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,0.0,1.0,0.033706029186891445,150,0.032498039305210114,0.7132514715194702,0.0,1.0,0.0,38,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.10061173525173513,150,0.8045417666435242,0.7711226344108582,0.0,1.0,,39,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.26186833746094584,150,0.16375312209129333,0.677614688873291,0.0,1.0,,40,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.19983643536529494,150,0.26639872789382935,0.6750261187553406,0.0,1.0,,41,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.45497846864430314,150,0.3443119525909424,0.33152201771736145,0.0,1.0,,42,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.2196797302378841,150,0.5133873820304871,0.7060954570770264,0.0,1.0,,43,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.12179748693283289,150,0.13987651467323303,0.6930915117263794,0.0,1.0,,44,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.2634852834242158,150,0.04643939435482025,0.6798326373100281,0.0,1.0,,45,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.09311608834238991,150,0.2841566503047943,0.6426594257354736,0.0,1.0,,46,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.44418000640199523,150,0.1816645860671997,0.6360411047935486,0.0,1.0,,47,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.40320752833126094,150,0.2994906008243561,0.3423337936401367,0.0,1.0,,48,v4_hx,B4,sac_her_pickandplace_clean_2M
sac_her_recovery_v4_hx,grip_state_falsification,5,0.0,-150.0,0.0,0.08028247311089927,150,0.1789133995771408,0.718029260635376,0.0,1.0,,49,v4_hx,B4,sac_her_pickandplace_clean_2M
