method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,first_success_step,episode_idx,recovery_version,benchmark_layer,env
sac_her_recovery_v2,clean,5,0.0,-5.0,1.0,0.02025121452062481,150,0.08450642228126526,0.9520663619041443,0.0,0.0,5.0,0,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-13.0,1.0,0.018016160933012393,150,0.15050260722637177,0.911756694316864,0.0,1.0,13.0,1,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-15.0,1.0,0.03828833901331989,150,0.06366369873285294,1.0478031635284424,0.0,0.0,15.0,2,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-5.0,1.0,0.013746583186707982,150,0.11518888175487518,0.9047831296920776,0.0,0.0,5.0,3,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-12.0,1.0,0.01707225735997043,150,0.12405242025852203,0.9951210618019104,0.0,1.0,12.0,4,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-10.0,1.0,0.016320485587278128,150,0.07386573404073715,1.0512382984161377,0.0,0.0,10.0,5,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-9.0,1.0,0.016493948832456286,150,0.09252336621284485,0.9345021843910217,0.0,0.0,9.0,6,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-11.0,1.0,0.035769910111700616,150,0.06354223191738129,1.0282270908355713,0.0,0.0,11.0,7,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,0.0,1.0,0.02347089506007907,150,0.0331839956343174,0.9356549978256226,0.0,0.0,0.0,8,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-6.0,1.0,0.02480888369427286,150,0.25948211550712585,1.0249764919281006,0.0,0.0,6.0,9,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-11.0,1.0,0.024516186480601658,150,1.253990650177002,1.169123888015747,0.0,0.0,11.0,10,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-10.0,1.0,0.014418123954457785,150,0.07779112458229065,0.9888625144958496,0.0,0.0,10.0,11,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-16.0,1.0,0.027373175748188906,150,0.0713503360748291,1.0492674112319946,0.0,0.0,16.0,12,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-9.0,1.0,0.03338839992592012,150,0.05269423499703407,1.028838038444519,0.0,0.0,9.0,13,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-7.0,1.0,0.014786379140341647,150,0.06156666576862335,0.9896942377090454,0.0,0.0,7.0,14,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-10.0,1.0,0.02390516342574376,150,0.07049401104450226,1.101749300956726,0.0,0.0,10.0,15,v2,B2,sac_her_pickandplace_clean_2M
sac_her_recovery_v2,clean,5,0.0,-5.0,1.0,0.018235501622483153,150,1.3108327388763428,1.2139835357666016,0.0,0.0,5.0,16,v2,B2,sac_her_pickandplace_clean_2M
