method,condition,n_episodes,trigger_rate,detection_delay_mean,detection_delay_median,response_delay_mean,response_delay_median
sac_her_recovery_v2,sensor_dropout,450,1.0,8.766666666666667,10.0,0.0,0.0
sac_her_recovery_v2,sensor_bias,450,0.9866666666666667,9.587837837837839,10.0,0.0,0.0
sac_her_recovery_v2,action_clipping,450,0.9911111111111112,9.854260089686099,10.0,0.0,0.0
sac_her_recovery_v2,action_delay,450,0.7644444444444445,9.343023255813954,10.0,0.0,0.0
sac_her_recovery_v2,action_reversal,450,1.0,7.644444444444445,10.0,0.0,0.0
sac_her_recovery_v2,goal_spoof_immediate,450,0.3333333333333333,9.973333333333333,10.0,0.0,0.0
sac_her_recovery_v2,goal_spoof_midep,450,0.057777777777777775,8.538461538461538,3.5,0.0,0.0
sac_her_recovery_v2,object_pose_spoof,450,0.36,9.932098765432098,10.0,0.0,0.0
sac_her_recovery_v2,grip_state_falsification,450,0.9311111111111111,9.749403341288783,10.0,0.0,0.0
sac_her_recovery_v2,contact_dropout,450,1.0,9.855555555555556,10.0,0.0,0.0
sac_her_recovery_v3,sensor_dropout,450,1.0,8.766666666666667,10.0,0.0,0.0
sac_her_recovery_v3,sensor_bias,450,0.9933333333333333,9.404921700223714,10.0,0.0,0.0
sac_her_recovery_v3,action_clipping,450,0.9911111111111112,9.854260089686099,10.0,0.0,0.0
sac_her_recovery_v3,action_delay,450,0.7644444444444445,9.343023255813954,10.0,0.0,0.0
sac_her_recovery_v3,action_reversal,450,1.0,7.644444444444445,10.0,0.0,0.0
sac_her_recovery_v3,goal_spoof_immediate,450,0.33111111111111113,10.288590604026846,10.0,0.0,0.0
sac_her_recovery_v3,goal_spoof_midep,450,0.051111111111111114,8.130434782608695,4.0,0.0,0.0
sac_her_recovery_v3,object_pose_spoof,450,0.38666666666666666,11.867816091954023,10.0,0.0,0.0
sac_her_recovery_v3,grip_state_falsification,450,0.9311111111111111,9.749403341288783,10.0,0.0,0.0
sac_her_recovery_v3,contact_dropout,450,1.0,9.855555555555556,10.0,0.0,0.0
sac_her_recovery_v4,sensor_dropout,450,1.0,14.0,14.0,68.18888888888888,68.0
sac_her_recovery_v4,sensor_bias,450,0.9955555555555555,14.457589285714286,14.0,71.07532467532468,68.0
sac_her_recovery_v4,action_clipping,450,0.1511111111111111,21.88235294117647,17.0,79.5,70.0
sac_her_recovery_v4,action_delay,450,0.2866666666666667,27.232558139534884,18.0,79.88888888888889,78.0
sac_her_recovery_v4,action_reversal,450,1.0,14.0,14.0,68.26503340757239,68.0
sac_her_recovery_v4,goal_spoof_immediate,450,0.9533333333333334,15.918414918414918,15.0,94.08771929824562,92.0
sac_her_recovery_v4,goal_spoof_midep,450,0.9555555555555556,3.272093023255814,3.0,71.85714285714286,70.0
sac_her_recovery_v4,object_pose_spoof,450,0.8577777777777778,18.77979274611399,17.0,81.51785714285714,77.5
sac_her_recovery_v4,grip_state_falsification,450,0.9488888888888889,15.540983606557377,15.0,78.29281767955801,76.0
sac_her_recovery_v4,contact_dropout,450,1.0,14.004444444444445,14.0,68.29241071428571,68.0
sac_her_recovery_v4_hx6,sensor_dropout,450,1.0,14.0,14.0,,
sac_her_recovery_v4_hx6,sensor_bias,450,1.0,15.03111111111111,14.0,76.78947368421052,68.0
sac_her_recovery_v4_hx6,action_clipping,450,0.04666666666666667,52.76190476190476,45.0,,
sac_her_recovery_v4_hx6,action_delay,450,0.10444444444444445,36.829787234042556,31.0,,
sac_her_recovery_v4_hx6,action_reversal,450,1.0,21.288888888888888,25.0,,
sac_her_recovery_v4_hx6,goal_spoof_immediate,450,1.0,4.0,4.0,58.82142857142857,40.5
sac_her_recovery_v4_hx6,goal_spoof_midep,450,0.9622222222222222,1.956120092378753,2.0,59.875,62.5
sac_her_recovery_v4_hx6,object_pose_spoof,450,0.9866666666666667,11.13963963963964,10.0,,
sac_her_recovery_v4_hx6,grip_state_falsification,450,0.9266666666666666,29.24220623501199,27.0,,
sac_her_recovery_v4_hx6,contact_dropout,450,1.0,14.004444444444445,14.0,70.58333333333333,69.0
