method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,metric,baseline_mean,recovery_mean
sac_her_recovery_v2,sac_her,clean,450,450,0.9977777777777778,0.9977777777777778,0.0,-0.00666666666666671,0.00666666666666671,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,sensor_bias,450,450,0.03111111111111111,0.02666666666666667,-0.004444444444444442,-0.013333333333333336,0.004444444444444442,0.625,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,action_clipping,450,450,0.9888888888888889,0.98,-0.008888888888888946,-0.026666666666666616,0.00666666666666671,0.4239501953125,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,action_delay,450,450,0.9244444444444444,0.9177777777777778,-0.006666666666666599,-0.0311111111111112,0.01777777777777778,0.7283324808813632,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.11555555555555555,0.031111111111111103,-0.006666666666666668,0.0711111111111111,0.15067520762630385,paired_mcnemar,0.7366343483952632,False,task_success_rate,,
sac_her_recovery_v2,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.10888888888888888,0.004444444444444431,-0.03777777777777777,0.04444444444444444,0.915186504842877,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.23777777777777778,-0.026666666666666644,-0.0822222222222222,0.031111111111111145,0.3933012967183943,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.2688888888888889,0.07111111111111112,0.03999999999999998,0.10222222222222221,2.0876568218419767e-05,paired_mcnemar,0.00045928450080523486,True,task_success_rate,,
sac_her_recovery_v2,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
