method,baseline_method,condition,metric,n_baseline,n_recovery,baseline_mean,recovery_mean,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh
sac_her_recovery_v2,sac_her,clean,completion_time_overhead,449,449,9.478841870824054,10.20935412026726,0.7305122494432066,0.046714922048996965,1.469988864142537,0.5187419538577156,unpaired_mannwhitney,1.0,False
sac_her_recovery_v2,sac_her,sensor_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v2,sac_her,sensor_bias,completion_time_overhead,14,12,11.428571428571429,0.0,-11.428571428571429,-31.285714285714285,0.0,0.20068519094615067,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v2,sac_her,action_clipping,completion_time_overhead,445,441,31.453932584269662,33.57142857142857,2.1174959871589074,0.2518790287650665,4.000270962317513,0.014867473558778715,unpaired_mannwhitney,0.13083376731725269,False
sac_her_recovery_v2,sac_her,action_delay,completion_time_overhead,416,413,14.742788461538462,17.1864406779661,2.4436522164276386,1.2174175533153282,3.707197860402311,0.0017570654549640056,unpaired_mannwhitney,0.025770293339472086,True
sac_her_recovery_v2,sac_her,action_reversal,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v2,sac_her,goal_spoof_immediate,completion_time_overhead,38,52,14.0,14.192307692307692,0.19230769230769162,-7.790612348178136,7.244357287449386,0.4587034162875012,unpaired_mannwhitney,1.0,False
sac_her_recovery_v2,sac_her,goal_spoof_midep,completion_time_overhead,47,49,8.72340425531915,9.122448979591837,0.399044724272688,-1.1563395570994366,1.9735453755970478,0.9062030863325169,unpaired_mannwhitney,1.0,False
sac_her_recovery_v2,sac_her,object_pose_spoof,completion_time_overhead,119,107,10.571428571428571,11.757009345794392,1.185580774365821,-0.9336055917694172,3.9631037461713627,0.298870422843838,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v2,sac_her,grip_state_falsification,completion_time_overhead,89,121,34.86516853932584,39.84297520661157,4.977806667285726,-5.369618813260286,14.943790045500963,0.1967978581794919,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v2,sac_her,contact_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v3,sac_her,clean,completion_time_overhead,449,446,9.478841870824054,10.753363228699552,1.2745213578754981,0.49972085451476594,2.0742569436815232,0.2439727265743743,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v3,sac_her,sensor_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v3,sac_her,sensor_bias,completion_time_overhead,14,13,11.428571428571429,9.153846153846153,-2.2747252747252755,-22.48434065934066,12.384615384615385,0.2988661115911895,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v3,sac_her,action_clipping,completion_time_overhead,445,432,31.453932584269662,50.761574074074076,19.307641489804414,16.53749687890138,22.08301199022055,9.680113516383559e-35,unpaired_mannwhitney,4.259249947208766e-33,True
sac_her_recovery_v3,sac_her,action_delay,completion_time_overhead,416,401,14.742788461538462,26.72069825436409,11.97790979282563,9.72194603635143,14.282718084596201,1.1015480414899694e-16,unpaired_mannwhitney,2.4234056912779326e-15,True
