condition,trigger_rate_pct,success_rate_pct,detection_delay_steps,response_delay_steps,safety_violation_pct
clean,,100.0,,,0.0
sensor_dropout,100.0,2.9,14.0,,0.0
sensor_bias,100.0,2.7,15.0,76.8,0.0
action_clipping,4.7,99.1,52.8,,0.0
action_delay,10.4,93.8,36.8,,0.44
action_reversal,100.0,2.9,21.3,,0.0
goal_spoof_immediate,100.0,9.6,4.0,58.8,0.0
goal_spoof_midep,96.2,12.0,2.0,59.9,0.0
object_pose_spoof,98.7,24.2,11.1,,0.0
grip_state_falsification,92.7,18.2,29.2,,0.22
contact_dropout,100.0,2.9,14.0,70.6,0.0
