method,condition,n_episodes,trigger_rate,detection_delay_mean,detection_delay_median,response_delay_mean,response_delay_median
sac_her_recovery_v4_hx,sensor_dropout,150,1.0,14.0,14.0,68.04,68.0
sac_her_recovery_v4_hx,sensor_bias,150,1.0,14.366666666666667,14.0,71.12903225806451,68.0
sac_her_recovery_v4_hx,action_clipping,150,0.12,24.5,17.0,81.0,81.0
sac_her_recovery_v4_hx,action_delay,150,0.2733333333333333,22.902439024390244,17.0,78.0,78.0
sac_her_recovery_v4_hx,action_reversal,150,1.0,14.0,14.0,68.14666666666666,68.0
sac_her_recovery_v4_hx,goal_spoof_immediate,150,0.9733333333333334,16.116438356164384,15.0,102.52173913043478,106.0
sac_her_recovery_v4_hx,goal_spoof_midep,150,0.9733333333333334,3.1301369863013697,3.0,69.66666666666667,70.0
sac_her_recovery_v4_hx,object_pose_spoof,150,0.8933333333333333,19.813432835820894,17.0,76.9047619047619,76.0
sac_her_recovery_v4_hx,grip_state_falsification,150,0.92,15.615942028985508,15.0,76.421875,74.0
sac_her_recovery_v4_hx,contact_dropout,150,1.0,14.0,14.0,68.1,68.0
sac_her_recovery_v4_hx2,sensor_dropout,150,1.0,14.0,14.0,,
sac_her_recovery_v4_hx2,sensor_bias,150,1.0,15.033333333333333,14.0,77.625,68.0
sac_her_recovery_v4_hx2,action_clipping,150,0.05333333333333334,65.875,61.5,,
sac_her_recovery_v4_hx2,action_delay,150,0.14666666666666667,41.54545454545455,31.0,,
sac_her_recovery_v4_hx2,action_reversal,150,1.0,22.066666666666666,25.0,,
sac_her_recovery_v4_hx2,goal_spoof_immediate,150,0.9733333333333334,15.554794520547945,15.0,99.66666666666667,101.5
sac_her_recovery_v4_hx2,goal_spoof_midep,150,0.94,2.765957446808511,2.0,71.6,71.0
sac_her_recovery_v4_hx2,object_pose_spoof,150,0.92,19.89855072463768,17.0,76.6,77.0
sac_her_recovery_v4_hx2,grip_state_falsification,150,0.9,29.348148148148148,27.0,,
sac_her_recovery_v4_hx2,contact_dropout,150,1.0,14.0,14.0,71.125,69.0
sac_her_recovery_v4_hx3,sensor_dropout,450,1.0,14.0,14.0,,
sac_her_recovery_v4_hx3,sensor_bias,450,1.0,15.04,14.0,74.125,68.0
sac_her_recovery_v4_hx3,action_clipping,450,0.04666666666666667,52.76190476190476,45.0,,
sac_her_recovery_v4_hx3,action_delay,450,0.10222222222222223,36.91304347826087,31.0,,
sac_her_recovery_v4_hx3,action_reversal,450,1.0,21.288888888888888,25.0,,
sac_her_recovery_v4_hx3,goal_spoof_immediate,450,0.9422222222222222,16.13679245283019,15.0,98.47540983606558,104.0
sac_her_recovery_v4_hx3,goal_spoof_midep,450,0.9688888888888889,3.220183486238532,3.0,70.25,69.0
sac_her_recovery_v4_hx3,object_pose_spoof,450,0.8755555555555555,19.86294416243655,17.0,86.81818181818181,81.0
sac_her_recovery_v4_hx3,grip_state_falsification,450,0.9244444444444444,28.94951923076923,27.0,,
sac_her_recovery_v4_hx3,contact_dropout,450,1.0,14.004444444444445,14.0,71.36,68.0
sac_her_recovery_v4_hx4,sensor_dropout,450,1.0,14.0,14.0,,
sac_her_recovery_v4_hx4,sensor_bias,450,1.0,14.962222222222222,14.0,81.29166666666667,68.0
sac_her_recovery_v4_hx4,action_clipping,450,0.04666666666666667,52.714285714285715,45.0,,
sac_her_recovery_v4_hx4,action_delay,450,0.10444444444444445,36.744680851063826,31.0,,
sac_her_recovery_v4_hx4,action_reversal,450,1.0,21.288888888888888,25.0,,
sac_her_recovery_v4_hx4,goal_spoof_immediate,450,0.9511111111111111,16.439252336448597,15.0,92.8695652173913,85.0
sac_her_recovery_v4_hx4,goal_spoof_midep,450,0.9622222222222222,3.0623556581986144,3.0,72.0,72.0
sac_her_recovery_v4_hx4,object_pose_spoof,450,0.9,18.748148148148147,17.0,90.25,88.0
sac_her_recovery_v4_hx4,grip_state_falsification,450,0.9244444444444444,28.973557692307693,27.0,,
sac_her_recovery_v4_hx4,contact_dropout,450,1.0,14.004444444444445,14.0,71.36,68.0
sac_her_recovery_v4_hx5,sensor_dropout,450,1.0,4.0,4.0,,
sac_her_recovery_v4_hx5,sensor_bias,450,1.0,4.144444444444445,4.0,33.370370370370374,17.0
sac_her_recovery_v4_hx5,action_clipping,450,0.9977777777777778,6.0,6.0,,
sac_her_recovery_v4_hx5,action_delay,450,0.5977777777777777,7.91449814126394,7.0,,
sac_her_recovery_v4_hx5,action_reversal,450,1.0,4.0,4.0,,
sac_her_recovery_v4_hx5,goal_spoof_immediate,450,1.0,4.002222222222223,4.0,47.13636363636363,24.0
sac_her_recovery_v4_hx5,goal_spoof_midep,450,0.96,2.173611111111111,2.0,51.026315789473685,61.0
sac_her_recovery_v4_hx5,object_pose_spoof,450,1.0,4.002222222222223,4.0,,
sac_her_recovery_v4_hx5,grip_state_falsification,450,0.98,6.5147392290249435,6.0,,
sac_her_recovery_v4_hx5,contact_dropout,450,1.0,4.0,4.0,15.875,16.0
