method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,harm_flag
sac_her_recovery_v4,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.14,-0.05777777777777776,-0.08222222222222222,-0.033333333333333354,6.16488978266716e-06,paired_mcnemar,0.0001695344690233469,True,True
sac_her_recovery_v4_hx,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.14,-0.05777777777777776,-0.08222222222222222,-0.03333333333333334,6.16488978266716e-06,paired_mcnemar,0.0001695344690233469,True,True
sac_her_recovery_v3,sac_her,action_delay,450,150,0.9244444444444444,0.86,-0.06444444444444442,-0.1266666666666667,-0.006666666666666707,0.017844583582272033,unpaired_bootstrap,0.3271506990083206,False,False
sac_her_recovery_v2,sac_her,object_pose_spoof,450,150,0.2644444444444444,0.20666666666666667,-0.05777777777777776,-0.13333333333333333,0.020000000000000018,0.15699206135838106,unpaired_bootstrap,0.7195469478925799,False,False
sac_her_recovery_v4_hx,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.21333333333333335,-0.05111111111111108,-0.10444444444444442,0.0022222222222222365,0.08070858724864134,paired_mcnemar,0.546875,False,False
sac_her_recovery_v2,sac_her,action_delay,450,150,0.9244444444444444,0.9,-0.02444444444444438,-0.07999999999999996,0.028888888888888853,0.3437678191104121,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v2,sac_her,action_clipping,450,150,0.9888888888888889,0.9733333333333334,-0.015555555555555545,-0.046666666666666634,0.008888888888888946,0.1746638777029157,unpaired_bootstrap,0.7389625595123357,False,False
sac_her_recovery_v4_hx2,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.18222222222222223,-0.015555555555555545,-0.03555555555555556,0.004444444444444445,0.21003961563110352,paired_mcnemar,0.8251556328364781,False,False
sac_her_recovery_v4_hx2,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.2511111111111111,-0.013333333333333308,-0.06888888888888892,0.044444444444444425,0.7014821003407139,paired_mcnemar,1.0,False,False
sac_her_recovery_v2,sac_her,sensor_bias,450,150,0.03111111111111111,0.02,-0.01111111111111111,-0.03777777777777778,0.01777777777777778,0.4775338880789235,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v3,sac_her,clean,450,150,0.9977777777777778,0.9866666666666667,-0.011111111111111072,-0.033333333333333326,0.004444444444444473,0.09475150251371245,unpaired_bootstrap,0.546875,False,False
sac_her_recovery_v3,sac_her,action_clipping,450,150,0.9888888888888889,0.98,-0.008888888888888946,-0.03555555555555556,0.013333333333333308,0.41107977872331203,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v2,sac_her,sensor_dropout,450,150,0.028888888888888888,0.02,-0.008888888888888887,-0.035555555555555556,0.02,0.558409388489248,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v2,sac_her,action_reversal,450,150,0.028888888888888888,0.02,-0.008888888888888887,-0.035555555555555556,0.02,0.558409388489248,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v2,sac_her,contact_dropout,450,150,0.028888888888888888,0.02,-0.008888888888888887,-0.035555555555555556,0.02,0.558409388489248,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v3,sac_her,sensor_dropout,450,150,0.028888888888888888,0.02,-0.008888888888888887,-0.035555555555555556,0.02,0.558409388489248,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v3,sac_her,action_reversal,450,150,0.028888888888888888,0.02,-0.008888888888888887,-0.035555555555555556,0.02,0.558409388489248,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v3,sac_her,contact_dropout,450,150,0.028888888888888888,0.02,-0.008888888888888887,-0.035555555555555556,0.02,0.558409388489248,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,sensor_bias,450,450,0.03111111111111111,0.022222222222222223,-0.008888888888888887,-0.024444444444444442,0.0066666666666666645,0.3876953125,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,sensor_bias,450,450,0.03111111111111111,0.028888888888888888,-0.0022222222222222227,-0.013333333333333336,0.00888888888888889,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,action_reversal,450,450,0.028888888888888888,0.02666666666666667,-0.002222222222222219,-0.006666666666666668,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,clean,450,450,0.9977777777777778,0.9977777777777778,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
