method,condition,n,success_rate,ci_lo,ci_hi
sac_her,clean,450,0.9977777777777778,0.9875212403050232,0.9996076154506959
sac_her,sensor_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her,sensor_bias,450,0.03111111111111111,0.018621099195971238,0.051538773284132554
sac_her,action_clipping,450,0.9888888888888889,0.974256637203572,0.9952449175565092
sac_her,action_delay,450,0.9244444444444444,0.8962730893654057,0.9454305331763011
sac_her,action_reversal,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her,goal_spoof_immediate,450,0.08444444444444445,0.06213977749788919,0.11378390095604164
sac_her,goal_spoof_midep,450,0.10444444444444445,0.07945659160586378,0.1361285140882522
sac_her,object_pose_spoof,450,0.2644444444444444,0.2258131427332647,0.30706338088233237
sac_her,grip_state_falsification,450,0.19777777777777777,0.1636002411960006,0.23707152495231268
sac_her,contact_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4,clean,450,0.9977777777777778,0.9875212403050232,0.9996076154506959
sac_her_recovery_v4,sensor_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4,sensor_bias,450,0.035555555555555556,0.022002271985509452,0.056971250992413264
sac_her_recovery_v4,action_clipping,450,0.9888888888888889,0.974256637203572,0.9952449175565092
sac_her_recovery_v4,action_delay,450,0.9377777777777778,0.9115416656315197,0.956602908403644
sac_her_recovery_v4,action_reversal,450,0.02666666666666667,0.0153190334203657,0.046027188561919175
sac_her_recovery_v4,goal_spoof_immediate,450,0.10222222222222223,0.07751547417214674,0.1336628062730598
sac_her_recovery_v4,goal_spoof_midep,450,0.10444444444444445,0.07945659160586378,0.1361285140882522
sac_her_recovery_v4,object_pose_spoof,450,0.2822222222222222,0.2426163283367208,0.325514797270152
sac_her_recovery_v4,grip_state_falsification,450,0.14,0.11097864755078612,0.17511566212588123
sac_her_recovery_v4,contact_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx,clean,450,0.9977777777777778,0.9875212403050232,0.9996076154506959
sac_her_recovery_v4_hx,sensor_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx,sensor_bias,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx,action_clipping,450,0.9911111111111112,0.9773703703871303,0.9965380096218607
sac_her_recovery_v4_hx,action_delay,450,0.9377777777777778,0.9115416656315197,0.956602908403644
sac_her_recovery_v4_hx,action_reversal,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx,goal_spoof_immediate,450,0.09111111111111111,0.06787174945051273,0.12127240475014647
sac_her_recovery_v4_hx,goal_spoof_midep,450,0.10666666666666667,0.0814015642222821,0.13859036672074335
sac_her_recovery_v4_hx,object_pose_spoof,450,0.21333333333333335,0.17799221360382209,0.25352732928685745
sac_her_recovery_v4_hx,grip_state_falsification,450,0.14,0.11097864755078612,0.17511566212588123
sac_her_recovery_v4_hx,contact_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx2,clean,450,1.0,0.9915356810046284,0.9999999999999998
sac_her_recovery_v4_hx2,sensor_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx2,sensor_bias,450,0.022222222222222223,0.012114589136744206,0.04041798234772175
sac_her_recovery_v4_hx2,action_clipping,450,0.9911111111111112,0.9773703703871303,0.9965380096218607
sac_her_recovery_v4_hx2,action_delay,450,0.9377777777777778,0.9115416656315197,0.956602908403644
sac_her_recovery_v4_hx2,action_reversal,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx2,goal_spoof_immediate,450,0.08444444444444445,0.06213977749788919,0.11378390095604164
sac_her_recovery_v4_hx2,goal_spoof_midep,450,0.12444444444444444,0.0970886895494128,0.1581578433848883
sac_her_recovery_v4_hx2,object_pose_spoof,450,0.2511111111111111,0.21326544144098253,0.2931701306811578
sac_her_recovery_v4_hx2,grip_state_falsification,450,0.18222222222222223,0.14929507873345055,0.22052891067249655
sac_her_recovery_v4_hx2,contact_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx3,clean,450,1.0,0.9915356810046284,0.9999999999999998
sac_her_recovery_v4_hx3,sensor_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx3,sensor_bias,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx3,action_clipping,450,0.9911111111111112,0.9773703703871303,0.9965380096218607
sac_her_recovery_v4_hx3,action_delay,450,0.9377777777777778,0.9115416656315197,0.956602908403644
sac_her_recovery_v4_hx3,action_reversal,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
sac_her_recovery_v4_hx3,goal_spoof_immediate,450,0.12222222222222222,0.09511621661729645,0.15572349106809522
sac_her_recovery_v4_hx3,goal_spoof_midep,450,0.08666666666666667,0.06404556634846974,0.11628493735437055
sac_her_recovery_v4_hx3,object_pose_spoof,450,0.26,0.22162522776367746,0.3024376453541007
sac_her_recovery_v4_hx3,grip_state_falsification,450,0.19111111111111112,0.15745837335102217,0.22999291705056277
sac_her_recovery_v4_hx3,contact_dropout,450,0.028888888888888888,0.016959176074260465,0.048793871156933864
