method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,comparison
sac_her_recovery_v4_hx4,sac_her_recovery_v4,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,sensor_bias,450,450,0.035555555555555556,0.035555555555555556,0.0,-0.013333333333333336,0.013333333333333336,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,-0.008888888888888946,0.008888888888888946,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,action_reversal,450,450,0.02666666666666667,0.028888888888888888,0.002222222222222219,0.0,0.006666666666666668,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,goal_spoof_immediate,450,450,0.10222222222222223,0.10444444444444445,0.0022222222222222227,-0.03777777777777777,0.04222222222222222,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,goal_spoof_midep,450,450,0.10444444444444445,0.10888888888888888,0.004444444444444431,-0.03555555555555555,0.04666666666666666,0.9142116370824499,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,object_pose_spoof,450,450,0.2822222222222222,0.25555555555555554,-0.026666666666666672,-0.08227777777777778,0.031111111111111117,0.3989271474964336,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,grip_state_falsification,450,450,0.14,0.18888888888888888,0.04888888888888887,0.028888888888888895,0.0711111111111111,2.9802322387695312e-06,paired_mcnemar,6.556510925292969e-05,True,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,clean,450,450,1.0,1.0,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,sensor_bias,450,450,0.022222222222222223,0.035555555555555556,0.013333333333333332,-0.002222222222222219,0.02888888888888889,0.14599609375,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,action_clipping,450,450,0.9911111111111112,0.9911111111111112,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,-0.008888888888888835,0.008888888888888835,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,goal_spoof_immediate,450,450,0.08444444444444445,0.10444444444444445,0.020000000000000004,-0.01777777777777778,0.057777777777777775,0.3681876338306311,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,goal_spoof_midep,450,450,0.12444444444444444,0.10888888888888888,-0.015555555555555559,-0.057777777777777775,0.026666666666666686,0.5340598617346066,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,object_pose_spoof,450,450,0.2511111111111111,0.25555555555555554,0.0044444444444444176,-0.05111111111111111,0.06,0.9374089336007705,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,grip_state_falsification,450,450,0.18222222222222223,0.18888888888888888,0.006666666666666654,-0.006666666666666654,0.01999999999999999,0.5078125,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her_recovery_v4_hx2,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx4,sac_her,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,sensor_bias,450,450,0.03111111111111111,0.035555555555555556,0.004444444444444445,-0.006666666666666668,0.017777777777777778,0.7265625,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,action_delay,450,450,0.9244444444444444,0.9377777777777778,0.01333333333333342,0.0022222222222222365,0.026666666666666616,0.0703125,paired_mcnemar,0.7734375,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.10444444444444445,0.020000000000000004,-0.015555555555555559,0.05555555555555555,0.34918183817058834,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.10888888888888888,0.004444444444444431,-0.03777777777777776,0.04666666666666666,0.915186504842877,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx4,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.25555555555555554,-0.00888888888888889,-0.06444444444444447,0.04888888888888887,0.8159682796071847,paired_mcnemar,1.0,False,vs_sac_her
